Gemeente,Totaal,Percentage,Wind,Zon,Gemeente_CBS,Gemeente_2023
Sittard-Geleen,268,,,5,Sittard-Geleen,Sittard-Geleen
Sliedrecht,19,1.1,,1,Sliedrecht,Sliedrecht
Slochteren,91,3.2,8,1,Slochteren,Midden-Groningen
Sluis,160,,74,2,Sluis,Sluis
Smallingerland,107,2.3,,2,Smallingerland,Smallingerland
Soest,95,3.1,,2,Soest,Soest
Someren,113,,,2,Someren,Someren
Son en Breugel,38,,,1,Son en Breugel,Son en Breugel
Stadskanaal,112,5,,2,Stadskanaal,Stadskanaal
Staphorst,94,4.2,27,1,Staphorst,Staphorst
Stede Broec,33,2.6,,1,Stede Broec,Stede Broec
Steenbergen,79,,18,1,Steenbergen,Steenbergen
Steenwijkerland,401,10.5,,6,Steenwijkerland,Steenwijkerland
Stein,50,,,2,Stein (L.),Stein
Stichtse Vecht,90,1.5,,1,Stichtse Vecht,Stichtse Vecht
Strijen,54,,34,0,Strijen,Hoeksche Waard
Súdwest Fryslân,771,9.8,555,8,Súdwest-Fryslân,Súdwest-Fryslân
Ten Boer,54,,1,1,Ten Boer,Groningen
Terneuzen,688,,336,3,Terneuzen,Terneuzen
Terschelling,26,4.9,,0,Terschelling,Terschelling
Texel,51,3.7,2,3,Texel,Texel
Teylingen,36,,,1,Teylingen,Teylingen
Tholen,312,11.7,268,1,Tholen,Tholen
Tiel,47,1,,1,Tiel,Tiel
Tilburg,367,2.2,57,6,Tilburg,Tilburg
Tubbergen,141,7.3,,3,Tubbergen,Tubbergen
Twenterand,153,6.3,,2,Twenterand,Twenterand
Tynaarlo,140,,,3,Tynaarlo,Tynaarlo
Tytsjerksteradiel,118,,6,2,Tytsjerksteradiel,Tytsjerksteradiel
Uden,133,3.6,,3,Uden,Maashorst
Uitgeest,20,1.9,,1,Uitgeest,Uitgeest
Uithoorn,30,0.7,,1,Uithoorn,Uithoorn
Urk,20,1.9,,0,Urk,Urk
Utrecht,277,1.3,,7,Utrecht (gemeente),Utrecht
Utrechtse Heuvelrug,206,4.4,,3,Utrechtse Heuvelrug,Utrechtse Heuvelrug
Vaals,26,,,0,Vaals,Vaals
Valkenburg aan de Geul,41,2.8,,1,Valkenburg aan de Geul,Valkenburg aan de Geul
Valkenswaard,85,,,1,Valkenswaard,Valkenswaard
Veendam,265,,,2,Veendam,Veendam
Veenendaal,63,1.7,,4,Veenendaal,Veenendaal
Veere,328,16.9,252,2,Veere,Veere
Veghel,100,1.4,,3,Veghel,Meierijstad
Veldhoven,71,2,,2,Veldhoven,Veldhoven
Velsen,135,,66,2,Velsen,Velsen
Venlo,187,1.4,,6,Venlo,Venlo
Venray,282,5.2,,5,Venray,Venray
Vianen,30,1,,1,Vianen,Vijfheerenlanden
Vlaardingen,50,,,1,Vlaardingen,Vlaardingen
Vlagtwedde,87,,,2,Vlagtwedde,Westerwolde
Vlieland,8,5.6,,0,Vlieland,Vlieland
Vlissingen,118,,72,1,Vlissingen,Vlissingen
Voerendaal,23,2.6,,1,Voerendaal,Voerendaal
Voorschoten,18,1.5,,1,Voorschoten,Voorschoten
Voorst,102,3.9,,1,Voorst,Voorst
Vught,50,2.4,,1,Vught,Vught
Waalre,46,3.7,,1,Waalre,Waalre
Waalwijk,116,,43,1,Waalwijk,Waalwijk
Waddinxveen,116,,85,1,Waddinxveen,Waddinxveen
Wageningen,47,2,,2,Wageningen,Wageningen
Wassenaar,75,,,0,Wassenaar,Wassenaar
Waterland,78,6.4,34,1,Waterland,Waterland
Weert,139,,,3,Weert,Weert
Weesp,20,,,0,Weesp,Weesp
